the_geom,FS_CD,SHP_ADDR,ADDRESS,ZIP,DEPTNAME,HSENO,PREF_DIR,STNAME,STTYPE,SUFF_DIR,UNITDESC,X_COORD,Y_COORD
POINT (-118.50172032004558 34.25472608909484),87,Fire Station 87,10124 BALBOA BLVD,91343,FIRE,10124,,BALBOA,BLVD,,,6410057.90351731,1915460.12047155
POINT (-118.39680470661675 34.19911583475195),89,Fire Station 89,7063 LAUREL CANYON BLVD,91605,FIRE,7063,,LAUREL CANYON,BLVD,,,6441681.00004789,1895081.00014064
POINT (-118.44721705585009 34.309405430767676),91,Fire Station 91,14430 POLK ST,91342,FIRE,14430,,POLK,ST,,,6426615.99999423,1935281.00012104
POINT (-118.54883591782553 34.17282039981702),93,Fire Station 93,19059 VENTURA BLVD,91356,FIRE,19059,,VENTURA,BLVD,,,6395657.99990249,1885728.00014588
POINT (-118.34538583385286 34.01756739620395),94,Fire Station 94,4470 COLISEUM ST,90008,FIRE,4470,,COLISEUM,ST,,,6457060.00012973,1829041.00000305
POINT (-118.38123385196457 33.94533044036069),95,Fire Station 95,10010 INTERNATIONAL RD,90045,FIRE,10010,,INTERNATIONAL,RD,,,6446038.99986206,1802705.99985163
POINT (-118.60304855411374 34.24735510683549),96,Fire Station 96,21800 MARILLA ST,91311,FIRE,21800,,MARILLA,ST,,,6379422.99989224,1912945.99984363
POINT (-118.37458795801471 34.125457236119516),97,Fire Station 97,8021 MULHOLLAND DR,90046,FIRE,8021,,MULHOLLAND,DR,,,6448298.96614264,1868249.70012879
POINT (-118.4171439999908 34.27006673612912),98,Fire Station 98,13035 VAN NUYS BLVD,91331,FIRE,13035,,VAN NUYS,BLVD,,,6435637.99999481,1920925.99995971
POINT (-118.44036903493422 34.13181663904646),99,Fire Station 99,14145 MULHOLLAND DR,90210,FIRE,14145,,MULHOLLAND,DR,,,6428400.81630649,1870644.6874648
POINT (-118.31028149179164 33.721922264383515),101,Fire Station 101,1414 W 25TH ST,90732,FIRE,1414,W,25TH,ST,,,6467307.69616974,1721328.2813738
POINT (-118.42135820574181 34.17186986296526),102,Fire Station 102,13200 BURBANK BLVD,91401,FIRE,13200,,BURBANK,BLVD,,,6434214.99988806,1885195.99989755
POINT (-118.52838891955325 34.22894682269816),103,Fire Station 103,18143 PARTHENIA ST,91325,FIRE,18143,,PARTHENIA,ST,,,6401950.00011373,1906120.00004421
POINT (-118.57137040785489 34.22117551645663),104,Fire Station 104,8349 WINNETKA AVE,91306,FIRE,8349,,WINNETKA,AVE,,,6388941.99988306,1903362.99998079
POINT (-118.62368786670643 34.185444217528875),105,Fire Station 105,6345 FALLBROOK AVE,91367,FIRE,6345,,FALLBROOK,AVE,,,6373045.99985097,1890453.99988021
POINT (-118.62791498253536 34.21904320387493),106,Fire Station 106,23004 ROSCOE BLVD,91304,FIRE,23004,,ROSCOE,BLVD,,,6371843.9999584,1902689.00001647
POINT (-118.57347587033405 34.25752597245919),107,Fire Station 107,20225 DEVONSHIRE ST,91311,FIRE,20225,,DEVONSHIRE,ST,,,6388381.00002082,1916595.00009155
POINT (-118.49264169914534 34.13068421802411),109,Fire Station 109,16500 MULHOLLAND DR,90049,FIRE,16500,,MULHOLLAND,DR,,,6412579.99985106,1870306.00015005
POINT (-118.2759786078279 33.71848242754944),110,Fire Station 110,2945 MINER ST,90731,FIRE,2945,,MINER,ST,,BERTH #44A,6477736.00011623,1720046.00014572
POINT (-118.26813028712391 33.73000858434234),111,Fire Station 111,1444 S SEASIDE AVE,90731,FIRE,1444,S,SEASIDE,AVE,,BERTH #256,6480098.9999834,1723632.99986146
POINT (-118.25556561504338 33.76568595704989),49,Fire Station 49,400 YACHT ST,90744,FIRE,400,,YACHT,ST,,BERTH 194,6483172.00007097,1736676.00002213
POINT (-118.46649272689847 34.16305654051595),88,Fire Station 88,5101 N SEPULVEDA BLVD,91403,FIRE,5101,N,SEPULVEDA,BLVD,,,6420547.99999115,1882048.99995796
POINT (-118.3971902418473 33.9404853540229),51,Fire Station 51,10435 S SEPULVEDA BLVD,90045,FIRE,10435,S,SEPULVEDA,BLVD,,,6441464.00015381,1800833.99998671
POINT (-118.21830358129615 34.0751376342948),1,Fire Station 1,2230 PASADENA AVE,90031,FIRE,2230,,PASADENA,AVE,,,6495557.99990523,1849798.00015563
POINT (-118.21377595696214 34.0491756310637),2,Fire Station 2,1962 E CESAR E CHAVEZ AVE,90033,FIRE,1962,E,CESAR E CHAVEZ,AVE,,,6496909.00015599,1840347.0000288
POINT (-118.56967232979086 34.28126792068409),28,Fire Station 28,11641 CORBIN AVE,91326,FIRE,11641,,CORBIN,AVE,,,6389579.26041956,1925228.45526555
POINT (-118.49451884473707 34.21605331343816),114,Air Operation,16617 ARMINTA ST,91406,FIRE,16617,,ARMINTA,ST,,,6412164.77299123,1901375.78217046
POINT (-118.48400983609078 34.2143810811325),90,Fire Station 90,7921 WOODLEY AVE,91406,FIRE,7921,,WOODLEY,AVE,,,6415338.87917581,1900751.76931088
POINT (-118.37021389769752 34.150323746290034),86,Fire Station 86,4305 VINELAND AVE.,91602,FIRE,4305,,VINELAND,AVE,,,6449656.08350715,1877294.11478272
